Description,ASIN,Product URL
"Cqenpr 7 Port PoE Switch, 5X10/100M Port PoE, 2x10/100M Uplink, Unmanage, Desktop/Rackmount, Plug&Play, 78W, 802.3af/at, Metal case, Fanless. Lifetime-Tech Support.",B08YYBKD63,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02573243TLCHVI0OJMOR&url=%2FCqenpr-Unmanage-Rackmount-Fanless-Lifetime-Tech%2Fdp%2FB08YYBKD63%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1626242573%26sr%3D8-17-spons%26psc%3D1&qualifier=1626242573&id=7372397082108056&widgetName=sp_atf_next
"Protector USB C Power Delivery 18W, 8 AC Outlets 3 USB Ports 1875W 1700J, Flat Plug, 6ft Extension Cord, Wall Mountable for Home, Office, Computer TV-Black",B08H8HFWS1,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A02841522WSFBI9YLUI7A&url=%2FPOWERADD-Protector-Delivery-Extension-Mountable%2Fdp%2FB08H8HFWS1%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1626242573%26sr%3D8-18-spons%26psc%3D1&qualifier=1626242573&id=7372397082108056&widgetName=sp_atf_next
"Dell Inspiron 7700 AIO Desktop, 27-inch FHD Infinity Touch All in One - Intel Core i7-1165G7, 12GB 2666MHz DDR4 RAM, 1TB HDD + 256GB SSD, Iris XE Graphics, Windows 10 Home - Silver (Latest Model)",B08KHQBPHD,https://www.amazon.com//Dell-Inspiron-27-inch-Infinity-Touch/dp/B08KHQBPHD/ref=sr_1_19?dchild=1&keywords=computer&qid=1626242573&sr=8-19
"Acer Aspire TC-895-UA91 Desktop, 10th Gen Intel Core i3-10100 4-Core Processor, 8GB 2666MHz DDR4, 512GB NVMe M.2 SSD, 8X DVD, 802.11ax Wi-Fi 6, USB 3.2 Type C, Windows 10 Home",B088X29HF6,https://www.amazon.com//Acer-TC-895-UA91-i3-10100-Processor-802-11ax/dp/B088X29HF6/ref=sr_1_20?dchild=1&keywords=computer&qid=1626242573&sr=8-20
"CyberpowerPC Gamer Supreme Liquid Cool Gaming PC, AMD Ryzen 7 3800X 3.9GHz, GeForce RTX 3060 12GB, 16GB DDR4, 1TB NVMe SSD, WiFi Ready & Win 10 Home (SLC8260A5)",B08W1T9QJV,https://www.amazon.com//CyberpowerPC-Supreme-Liquid-GeForce-SLC8260A5/dp/B08W1T9QJV/ref=sr_1_21?dchild=1&keywords=computer&qid=1626242573&sr=8-21
"Acer Chromebook Spin 311 Convertible Laptop, Intel Celeron N4020, 11.6"" HD Touch, 4GB LPDDR4, 32GB eMMC, Gigabit Wi-Fi 5, Bluetooth 5.0, Google Chrome, CP311-2H-C679",B086MBQKH2,https://www.amazon.com//Acer-Chromebook-Convertible-Bluetooth-CP311-2H-C679/dp/B086MBQKH2/ref=sr_1_22?dchild=1&keywords=computer&qid=1626242573&sr=8-22
"Lenovo IdeaCentre AIO 3, 24"" All-in-One Computer, AMD Ryzen 3 4300U Mobile Processor, Integrated Graphics, 8GB DDR4, 256GB M.2 Name SSD, DVD RW Drive, Windows 10, F0EW005TUS, Business Black",B089N4K38B,https://www.amazon.com//Lenovo-IdeaCentre-Processor-Integrated-F0EW005TUS/dp/B089N4K38B/ref=sr_1_23?dchild=1&keywords=computer&qid=1626242573&sr=8-23
"Gaming PC Desktop Computer Genesis Design i5 2500 3.30ghz, 8GB DDR3 Ram, Geforce GTX 750 2GB Graphic, 500GB SSD Drive, 550w Power, WiFi Ready",B08H9TJYP1,https://www.amazon.com//Desktop-Computer-Genesis-3-30ghz-Geforce/dp/B08H9TJYP1/ref=sr_1_24?dchild=1&keywords=computer&qid=1626242573&sr=8-24
"HP 22 All-in-One PC, AMD Athlon Gold 3150U Processor, 4 GB RAM, 256 GB SSD, Full HD IPS 21.5-inch Anti-glare Display, Windows 10 Home, USB Mouse and Keyboard (22-df0022, 2020)",B08BXB1N1V,https://www.amazon.com//HP-Processor-21-5-inch-Anti-Glare-22-df0022/dp/B08BXB1N1V/ref=sr_1_25?dchild=1&keywords=computer&qid=1626242573&sr=8-25
"Lenovo IdeaCentre AIO 3, 24"" All-in-One Computer, AMD Ryzen 5 4500U Mobile Processor, Integrated Graphics, 16GB DDR4, 512GB M.2 Name SSD, DVD RW Drive, Windows 10, F0EW005SUS, Business Black",B089N4WC3L,https://www.amazon.com//Lenovo-IdeaCentre-Processor-Integrated-F0EW005SUS/dp/B089N4WC3L/ref=sr_1_26?dchild=1&keywords=computer&qid=1626242573&sr=8-26
"Rechargeable Compressed Air Duster for Keyboard Cleaning, Replaces Compressed Gas Cans, Air Blower for Electronics, Computers",B08ZNRH3NX,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A01263543V0R78ORI6LPG&url=%2FRechargeable-Compressed-Keyboard-Electronics-Computers%2Fdp%2FB08ZNRH3NX%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1626242573%26sr%3D8-27-spons%26psc%3D1&qualifier=1626242573&id=7372397082108056&widgetName=sp_mtf
"Gshine Laptop Stand, Aluminum Computer Riser, Ergonomic Height Angle Adjustable Computer Holder Compatible with MacBook Air Pro, Dell XPS, Lenovo More 10-15.6"" Laptops - Black",B0875JGY2W,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0937239GAXYW6H8UK41&url=%2FGshine-Multi-Angle-Adjustable-Aluminum-Notebooks%2Fdp%2FB0875JGY2W%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dcomputer%26qid%3D1626242573%26sr%3D8-28-spons%26psc%3D1&qualifier=1626242573&id=7372397082108056&widgetName=sp_mtf
"SkyTech Blaze II Gaming Computer PC Desktop - Ryzen 5 3600 6-Core 3.6GHz, GTX 1650 Super 4G, 500G SSD, 8GB DDR4 3000, RGB, AC WiFi, Windows 10 Home 64-bit",B08VZ4BFN9,https://www.amazon.com//SkyTech-Blaze-Gaming-Computer-Desktop/dp/B08VZ4BFN9/ref=sr_1_29?dchild=1&keywords=computer&qid=1626242573&sr=8-29
